Date,gold,silver,dxy,us10y,log_gold,dlog_gold,log_silver,dlog_silver,log_dxy,dlog_dxy,dus10y
2000-08-30,273.8999938964844,4.929999828338623,112.13999938964844,5.800000190734863,5.612763053985295,,1.5953389532348463,,4.719748085252762,,
2000-08-31,278.29998779296875,5.002999782562256,112.5999984741211,5.729000091552734,5.628699624668994,0.015936570683699358,1.610037689044595,0.014698735809748786,4.723841702154267,0.004093616901505115,-0.0710000991821289
2000-09-01,277.0,5.004000186920166,111.41999816894531,5.675000190734863,5.6240175061873385,-0.004682118481655451,1.610237629958814,0.00019994091421882132,4.7133068281588635,-0.01053487399540387,-0.053999900817871094
2000-09-05,275.79998779296875,4.998000144958496,112.41000366210938,5.683000087738037,5.619675921098754,-0.004341585088584843,1.6090378614160608,-0.0011997685427531657,4.722152934051851,0.008846105892987843,0.007999897003173828
2000-09-06,274.20001220703125,4.982999801635742,114.12000274658203,5.711999893188477,5.613857811646927,-0.005818109451826814,1.6060320794910672,-0.003005781924993567,4.7372505504127895,0.015097616360938204,0.028999805450439453
2000-09-07,274.0,4.934999942779541,113.6500015258789,5.749000072479248,5.6131281063880705,-0.0007297052588564057,1.5963526612906203,-0.009679418200446932,4.733123563724676,-0.004126986688113732,0.037000179290771484
2000-09-08,273.29998779296875,4.922999858856201,114.33999633789062,5.723999977111816,5.610570048268704,-0.002558058119366713,1.593918072105781,-0.0024345891848391865,4.7391764338075815,0.00605287008290567,-0.02500009536743164
2000-09-11,273.1000061035156,4.885000228881836,115.37000274658203,5.757999897003174,5.609838050828673,-0.0007319974400310514,1.5861693323487545,-0.0077487397570266126,4.748144378745924,0.008967944938342853,0.03399991989135742
2000-09-12,272.8999938964844,4.908999919891357,115.16999816894531,5.769999980926514,5.6091054053489,-0.0007326454797729198,1.591070238757186,0.004900906408431549,4.746409281782103,-0.0017350969638210145,0.012000083923339844
2000-09-13,272.79998779296875,4.892000198364258,115.33999633789062,5.728000164031982,5.608738881222124,-0.0003665241267754027,1.5876012583736288,-0.003468980383557252,4.747884256436708,0.001474974654604999,-0.04199981689453125
