Date,gold,silver,log_gold,dlog_gold,log_silver,dlog_silver,log_ratio
2000-08-30,273.8999938964844,4.929999828338623,5.612763053985295,,1.5953389532348463,,4.017424100750448
2000-08-31,278.29998779296875,5.002999782562256,5.628699624668994,0.015936570683699358,1.610037689044595,0.014698735809748786,4.018661935624399
2000-09-01,277.0,5.004000186920166,5.6240175061873385,-0.004682118481655451,1.610237629958814,0.00019994091421882132,4.013779876228525
2000-09-05,275.79998779296875,4.998000144958496,5.619675921098754,-0.004341585088584843,1.6090378614160608,-0.0011997685427531657,4.010638059682693
2000-09-06,274.20001220703125,4.982999801635742,5.613857811646927,-0.005818109451826814,1.6060320794910672,-0.003005781924993567,4.00782573215586
2000-09-07,274.0,4.934999942779541,5.6131281063880705,-0.0007297052588564057,1.5963526612906203,-0.009679418200446932,4.01677544509745
2000-09-08,273.29998779296875,4.922999858856201,5.610570048268704,-0.002558058119366713,1.593918072105781,-0.0024345891848391865,4.0166519761629225
2000-09-11,273.1000061035156,4.885000228881836,5.609838050828673,-0.0007319974400310514,1.5861693323487545,-0.0077487397570266126,4.023668718479918
2000-09-12,272.8999938964844,4.908999919891357,5.6091054053489,-0.0007326454797729198,1.591070238757186,0.004900906408431549,4.018035166591714
2000-09-13,272.79998779296875,4.892000198364258,5.608738881222124,-0.0003665241267754027,1.5876012583736288,-0.003468980383557252,4.021137622848496
2000-09-14,272.3999938964844,4.888000011444092,5.607271551868912,-0.0014673293532121434,1.5867832242105568,-0.0008180341630719123,4.020488327658356
2000-09-15,272.29998779296875,4.868000030517578,5.606904354850366,-0.0003671970185461504,1.5826831813942983,-0.004100042816258531,4.024221173456068
2000-09-18,271.3999938964844,4.875999927520752,5.603593724911764,-0.0033106299386016502,1.584325196754536,0.0016420153602376697,4.0192685281572285
2000-09-19,271.8999938964844,4.882999897003174,5.605434329190777,0.0018406042790122257,1.585759763986583,0.001434567232047046,4.019674565204194
2000-09-20,269.0,4.829999923706055,5.594711379601839,-0.010722949588937603,1.5748464518686334,-0.010913312117949658,4.019864927733206
2000-09-21,270.29998779296875,4.872000217437744,5.599532408121353,0.004821028519513604,1.5835045750376737,0.008658123169040355,4.016027833083679
2000-09-22,271.79998779296875,4.909999847412109,5.605066456805227,0.005534048683874637,1.5912739107294653,0.007769335691791612,4.013792546075762
2000-09-25,274.1000061035156,4.914999961853027,5.613493025576218,0.00842656877099035,1.5922917458377925,0.001017835108327203,4.021201279738425
2000-09-26,273.8999938964844,4.931000232696533,5.612763053985295,-0.0007299715909230287,1.595541854432524,0.0032501085947314046,4.017221199552771
2000-09-27,278.3999938964844,4.9679999351501465,5.6290589065367165,0.016295852551421852,1.6030173315776644,0.007475477145140408,4.026041574959052
2000-09-28,275.6000061035156,4.953000068664551,5.618950561285787,-0.010108345250929851,1.599993467469325,-0.0030238641083393247,4.018957093816462
2000-09-29,273.6000061035156,4.89900016784668,5.611667208056566,-0.007283353229220246,1.5890311369178538,-0.010962330551471222,4.022636071138713
2000-10-02,273.1000061035156,4.906000137329102,5.609838050828673,-0.001829157227893674,1.5904589738283683,0.0014278369105145128,4.019379077000305
2000-10-03,271.6000061035156,4.913000106811523,5.604330418156985,-0.005507632671688079,1.591884774927102,0.0014258010987335812,4.012445643229883
2000-10-04,270.29998779296875,4.874000072479248,5.599532408121353,-0.004798010035631961,1.5839149700736028,-0.007969804853499074,4.01561743804775
2000-10-05,270.6000061035156,4.888999938964844,5.600641738292177,0.0011093301708244852,1.5869877711123284,0.0030728010387255367,4.013653967179849
2000-10-06,269.29998779296875,4.882999897003174,5.595825954488807,-0.004815783803370444,1.585759763986583,-0.001228007125745334,4.010066190502224
2000-10-09,270.1000061035156,4.885000228881836,5.598792283395814,0.0029663289070072096,1.5861693323487545,0.0004095683621714308,4.012622951047059
2000-10-10,272.3999938964844,4.918000221252441,5.607271551868912,0.008479268473098323,1.5929019887822962,0.006732656433541706,4.014369563086616
2000-10-11,270.5,4.869999885559082,5.600272098286537,-0.0069994535823756365,1.5830939135953364,-0.009808075186959808,4.0171781846912005
